Section,Check,What good looks like,Severity,Auto-detected,PMD / Analyzer rule,Reference,Status,Reviewer notes
Bulkification & Limits,No SOQL inside loops,Query once before the loop; use Maps keyed by Id,Critical,Yes,AvoidSoqlInLoops,Apex Code Best Practices,,
Bulkification & Limits,No SOSL inside loops,SOSL executed once outside iteration,Critical,Yes,AvoidSoslInLoops,Apex Code Best Practices,,
Bulkification & Limits,No DML inside loops,Collect into a List; single DML after the loop,Critical,Yes,AvoidDmlStatementsInLoops,Apex Code Best Practices,,
Bulkification & Limits,Code assumes 200 records,Iterates Trigger.new; no Trigger.new[0] single-record assumption,Critical,Partial,,Apex Code Best Practices,,
Bulkification & Limits,No @future invoked inside a loop,Async method receives a Set/List; called once (max 10 @future per txn),High,Partial,,Apex Code Best Practices,,
Bulkification & Limits,No nested loops over collections,Refactor with Maps; avoid O(n^2) iteration,High,No,,Apex Best Practices 2026,,
Bulkification & Limits,SOQL selects only required fields,No SELECT of unused fields; reduces heap,Medium,No,,Apex Performance,,
Bulkification & Limits,Query filters and LIMIT applied,Selective queries; large data sets chunked,High,Partial,,Querying Large Data Sets,,
Bulkification & Limits,Limits methods guard heavy ops,Limits.getQueries() etc. near governor thresholds,Medium,No,,Limits Apex Methods,,
Bulkification & Limits,No string concatenation in loops,Build with List<String> + String.join,Low,No,,Apex Performance,,
Hardcoded Values,No record type IDs in code,Resolved via getRecordTypeInfosByDeveloperName(),Critical,Partial,AvoidHardcodingId,RecordTypeInfo (Summer 18+),,
Hardcoded Values,No profile / user / queue / group IDs,Looked up by name or stored in Custom Metadata,Critical,Partial,AvoidHardcodingId,Apex Best Practices,,
Hardcoded Values,No org URLs or integration endpoints,Named Credentials / Custom Metadata,Critical,No,,Named Credentials,,
Hardcoded Values,No hardcoded usernames or emails,Custom Metadata / Custom Settings,High,No,,Apex Best Practices,,
Hardcoded Values,No magic strings or numbers,Constants; Custom Labels for user-facing text,Medium,No,,Custom Labels,,
Triggers & Handlers,One trigger per object,Single trigger per object routes to a handler,Critical,Yes,AvoidLogicInTrigger,Trigger Framework Best Practices,,
Triggers & Handlers,No business logic in trigger body,Trigger only delegates to handler class,High,Yes,AvoidLogicInTrigger,Trigger Framework Best Practices,,
Triggers & Handlers,Recursion guard present,Static Boolean or set-based guard prevents re-entry,High,No,,Trigger Framework Best Practices,,
Triggers & Handlers,No direct access to Trigger.new map in shared logic,Avoid tight coupling to trigger context,Medium,Yes,AvoidDirectAccessTriggerMap,PMD Apex rules,,
Triggers & Handlers,Context split (before/after; insert/update),Distinct handler methods per event context,Medium,No,,Trigger Framework Best Practices,,
Triggers & Handlers,No Apex + record-triggered Flow on same object,One automation owner per object; order controlled,High,No,,Apex Best Practices 2026,,
Security,CRUD/FLS enforced with USER_MODE,SOQL/SOSL use WITH USER_MODE (SECURITY_ENFORCED is retiring),Critical,Partial,ApexCRUDViolation,USER_MODE docs,,
Security,DML runs in user mode where required,DML uses 'as user' / AccessLevel.USER_MODE,Critical,Partial,ApexCRUDViolation,USER_MODE docs,,
Security,Sharing declared explicitly,Class states with sharing / without sharing on purpose,Critical,Partial,,Default Apex ignores sharing,,
Security,No SOQL/SOSL injection,Bind variables (:var); escapeSingleQuotes on dynamic queries,Critical,Yes,ApexSOQLInjection,SOQL Injection Prevention,,
Security,No DML in constructors/initializers,Avoids CSRF-class vulnerabilities,High,Yes,ApexCSRF,PMD Apex rules,,
Security,Crypto uses random IV/keys,No static IVs or hardcoded keys,High,Yes,ApexBadCrypto,PMD Apex rules,,
Security,No sensitive data in debug logs,No PII / secrets in System.debug,High,No,,Security Guidelines,,
Access Model,Least privilege,Min-access profile + permission set groups (not cloned profiles),High,No,,Permission Set Groups 2026,,
Access Model,No blanket System Admin grants,Access scoped to need; muting perm sets where required,High,No,,Permission Set Groups 2026,,
Async & Integration,Correct async pattern chosen,@future vs Queueable vs Batch vs Scheduled fits the job,Medium,No,,Async Apex,,
Async & Integration,Callouts bulk-safe and non-blocking,Async for long-running; respects async limits,High,No,,Async Apex,,
Async & Integration,Platform Events for decoupling where apt,EventBus.publish for real-time integration/logging,Low,No,,Platform Events,,
Async & Integration,Callout failures handled and retried,Graceful degradation; no silent integration failures,High,No,,Error Handling,,
Error Handling,No empty catch blocks,Every catch logs or rethrows meaningfully,High,Yes,EmptyCatchBlock,PMD Apex rules,,
Error Handling,Custom exception classes used,Domain-specific exceptions rather than generic Exception,Medium,No,,Apex Best Practices 2026,,
Error Handling,Async error tracking in place,Platform events / logging framework for prod visibility,Medium,No,,Apex Best Practices 2026,,
Error Handling,Database methods for partial success,"Database.insert(list,false) where partial success is valid",Medium,No,,Database Methods,,
Data Model,Field is a genuine attribute of the object,Not overloading one object as a catch-all,Medium,No,,Talk: overloaded object,,
Data Model,No context-dependent field meanings,One field means one thing across all records,Medium,No,,Talk: overloaded object,,
Data Model,No orphaned or unused fields,Fields populated and referenced; dead fields removed,Low,No,,Org audit,,
Tests,Assertions verify behavior,System.Assert on real outcomes; not coverage-padding,Critical,Yes,ApexUnitTestClassShouldHaveAsserts,Testing Best Practices,,
Tests,No SeeAllData=true,Test data created in the test (or @TestSetup),High,Yes,ApexUnitTestShouldNotUseSeeAllDataTrue,Testing Best Practices,,
Tests,Bulk (200-record) test present,Verifies bulk-safe behavior,High,No,,Testing Best Practices,,
Tests,Edge cases and failure paths tested,"Null, empty, boundary, and integration-failure scenarios",High,No,,Apex Best Practices 2026,,
Tests,Meaningful coverage (aim above 75%),"Coverage from real scenarios, not trivial assertions",Medium,Partial,,75% platform minimum,,
Tests,startTest / stopTest around async,Async assertions run in fresh limit context,Medium,No,,Testing Best Practices,,
Code Quality,Single responsibility per class/method,One reason to change; logic encapsulated,Medium,No,,SOLID / SRP,,
Code Quality,Return-early pattern,Guard clauses over deep nested if/else,Low,No,,Apex Best Practices,,
Code Quality,Consistent naming conventions,PascalCase classes; descriptive methods; object-prefixed triggers,Low,Yes,ClassNamingConventions,PMD Apex rules,,
